Date, Open, High, Low, Close
12/22/11, 6.3435, 6.3442, 6.3435, 6.3442
12/21/11, 6.3480, 6.3480, 6.3435, 6.3435
12/20/11, 6.3342, 6.3480, 6.3342, 6.3480
12/19/11, 6.3335, 6.3342, 6.3335, 6.3342
12/16/11, 6.3750, 6.3750, 6.3335, 6.3335
12/15/11, 6.3730, 6.3750, 6.3730, 6.3750
12/14/11, 6.3633, 6.3730, 6.3633, 6.3730
12/13/11, 6.3628, 6.3633, 6.3628, 6.3633
12/12/11, 6.3364, 6.3628, 6.3364, 6.3628
12/09/11, 6.3570, 6.3570, 6.3364, 6.3364
12/08/11, 6.3700, 6.3700, 6.3570, 6.3570
12/07/11, 6.3360, 6.3700, 6.3360, 6.3700
12/06/11, 6.3389, 6.3389, 6.3360, 6.3360
12/05/11, 6.3351, 6.3389, 6.3351, 6.3389
12/02/11, 6.3720, 6.3720, 6.3351, 6.3351
12/01/11, 6.3798, 6.3798, 6.3720, 6.3720
11/30/11, 6.3761, 6.3798, 6.3761, 6.3798
11/29/11, 6.3874, 6.3874, 6.3761, 6.3761
11/28/11, 6.3625, 6.3874, 6.3625, 6.3874
11/25/11, 6.3635, 6.3635, 6.3625, 6.3625
11/24/11, 6.3625, 6.3635, 6.3625, 6.3635
11/23/11, 6.3627, 6.3627, 6.3625, 6.3625
11/22/11, 6.3621, 6.3627, 6.3621, 6.3627
11/21/11, 6.3586, 6.3621, 6.3586, 6.3621
11/18/11, 6.3519, 6.3586, 6.3519, 6.3586
11/17/11, 6.3495, 6.3519, 6.3495, 6.3519
11/16/11, 6.3483, 6.3495, 6.3483, 6.3495
11/15/11, 6.3567, 6.3567, 6.3483, 6.3483
11/14/11, 6.3430, 6.3567, 6.3430, 6.3567
11/11/11, 6.3502, 6.3502, 6.3430, 6.3430
11/10/11, 6.3415, 6.3502, 6.3415, 6.3502
11/09/11, 6.3478, 6.3478, 6.3415, 6.3415
11/08/11, 6.3508, 6.3508, 6.3478, 6.3478
11/07/11, 6.3420, 6.3508, 6.3420, 6.3508
11/04/11, 6.3562, 6.3562, 6.3420, 6.3420
11/03/11, 6.3600, 6.3600, 6.3562, 6.3562
11/02/11, 6.3560, 6.3600, 6.3560, 6.3600
11/01/11, 6.3562, 6.3562, 6.3560, 6.3560
10/31/11, 6.3620, 6.3620, 6.3562, 6.3562
10/28/11, 6.3640, 6.3640, 6.3620, 6.3620
10/27/11, 6.3549, 6.3640, 6.3549, 6.3640
10/26/11, 6.3620, 6.3620, 6.3549, 6.3549
10/25/11, 6.3792, 6.3792, 6.3620, 6.3620
10/24/11, 6.3848, 6.3848, 6.3792, 6.3792
10/21/11, 6.3854, 6.3854, 6.3848, 6.3848
10/20/11, 6.3820, 6.3854, 6.3820, 6.3854
10/19/11, 6.3819, 6.3820, 6.3819, 6.3820
10/18/11, 6.3745, 6.3819, 6.3745, 6.3819
10/17/11, 6.3800, 6.3800, 6.3745, 6.3745
10/14/11, 6.3840, 6.3840, 6.3800, 6.3800
10/13/11, 6.3604, 6.3840, 6.3604, 6.3840
10/12/11, 6.3760, 6.3760, 6.3604, 6.3604
10/11/11, 6.3493, 6.3760, 6.3493, 6.3760
10/10/11, 6.3760, 6.3760, 6.3493, 6.3493
10/07/11, 6.3800, 6.3800, 6.3760, 6.3760
10/06/11, 6.3795, 6.3800, 6.3795, 6.3800
10/05/11, 6.3755, 6.3795, 6.3755, 6.3795
10/04/11, 6.3760, 6.3760, 6.3755, 6.3755
10/03/11, 6.3833, 6.3833, 6.3760, 6.3760
09/30/11, 6.4012, 6.4012, 6.3833, 6.3833
09/29/11, 6.3950, 6.4012, 6.3950, 6.4012
09/28/11, 6.3994, 6.3994, 6.3950, 6.3950
09/27/11, 6.3990, 6.3994, 6.3990, 6.3994
09/26/11, 6.3890, 6.3990, 6.3890, 6.3990
09/23/11, 6.3898, 6.3898, 6.3890, 6.3890
09/22/11, 6.3860, 6.3898, 6.3860, 6.3898
09/21/11, 6.3851, 6.3860, 6.3851, 6.3860
09/20/11, 6.3877, 6.3877, 6.3851, 6.3851
09/19/11, 6.3880, 6.3880, 6.3877, 6.3877
09/16/11, 6.3930, 6.3930, 6.3880, 6.3880
09/15/11, 6.3960, 6.3960, 6.3930, 6.3930
09/14/11, 6.4000, 6.4000, 6.3960, 6.3960
09/13/11, 6.3895, 6.4000, 6.3895, 6.4000
09/12/11, 6.3893, 6.3895, 6.3893, 6.3895
09/09/11, 6.3848, 6.3893, 6.3848, 6.3893
09/08/11, 6.3935, 6.3935, 6.3848, 6.3848
09/07/11, 6.3950, 6.3950, 6.3935, 6.3935
09/06/11, 6.3869, 6.3950, 6.3869, 6.3950
09/05/11, 6.3870, 6.3870, 6.3869, 6.3869
09/02/11, 6.3825, 6.3870, 6.3825, 6.3870
09/01/11, 6.3800, 6.3825, 6.3800, 6.3825
08/31/11, 6.3818, 6.3818, 6.3800, 6.3800
08/30/11, 6.3823, 6.3823, 6.3818, 6.3818
08/29/11, 6.3915, 6.3915, 6.3823, 6.3823
08/26/11, 6.3948, 6.3948, 6.3915, 6.3915
08/25/11, 6.3895, 6.3948, 6.3895, 6.3948
08/24/11, 6.3994, 6.3994, 6.3895, 6.3895
08/23/11, 6.4015, 6.4015, 6.3994, 6.3994
08/22/11, 6.3960, 6.4015, 6.3960, 6.4015
08/19/11, 6.3893, 6.3960, 6.3893, 6.3960
08/18/11, 6.3920, 6.3920, 6.3893, 6.3893
08/17/11, 6.3838, 6.3920, 6.3838, 6.3920
08/16/11, 6.3918, 6.3918, 6.3838, 6.3838
08/15/11, 6.3908, 6.3918, 6.3908, 6.3918
08/12/11, 6.3985, 6.3985, 6.3908, 6.3908
08/11/11, 6.4188, 6.4188, 6.3985, 6.3985
08/10/11, 6.4352, 6.4352, 6.4188, 6.4188
08/09/11, 6.4362, 6.4362, 6.4352, 6.4352
08/08/11, 6.4450, 6.4450, 6.4362, 6.4362
08/05/11, 6.4393, 6.4450, 6.4393, 6.4450
08/04/11, 6.4353, 6.4393, 6.4353, 6.4393
08/03/11, 6.4430, 6.4430, 6.4353, 6.4353
08/02/11, 6.4385, 6.4430, 6.4385, 6.4430
08/01/11, 6.4380, 6.4385, 6.4380, 6.4385
07/29/11, 6.4434, 6.4434, 6.4380, 6.4380
07/28/11, 6.4446, 6.4446, 6.4434, 6.4434
07/27/11, 6.4426, 6.4446, 6.4426, 6.4446
07/26/11, 6.4458, 6.4458, 6.4426, 6.4426
07/25/11, 6.4484, 6.4484, 6.4458, 6.4458
07/22/11, 6.4555, 6.4555, 6.4484, 6.4484
07/21/11, 6.4600, 6.4600, 6.4555, 6.4555
07/20/11, 6.4646, 6.4646, 6.4600, 6.4600
07/19/11, 6.4700, 6.4700, 6.4646, 6.4646
07/18/11, 6.4630, 6.4700, 6.4630, 6.4700
07/15/11, 6.4470, 6.4630, 6.4470, 6.4630
07/14/11, 6.4812, 6.4812, 6.4470, 6.4470
07/13/11, 6.4671, 6.4812, 6.4671, 6.4812
07/12/11, 6.4720, 6.4720, 6.4671, 6.4671
07/11/11, 6.4655, 6.4720, 6.4655, 6.4720
07/08/11, 6.4670, 6.4670, 6.4655, 6.4655
07/07/11, 6.4710, 6.4710, 6.4670, 6.4670
07/06/11, 6.4691, 6.4710, 6.4691, 6.4710
07/05/11, 6.4641, 6.4691, 6.4641, 6.4691
07/04/11, 6.4661, 6.4661, 6.4641, 6.4641
07/01/11, 6.4648, 6.4661, 6.4648, 6.4661
06/30/11, 6.4644, 6.4648, 6.4644, 6.4648
06/29/11, 6.4705, 6.4705, 6.4644, 6.4644
06/28/11, 6.4835, 6.4835, 6.4705, 6.4705
06/27/11, 6.4745, 6.4835, 6.4745, 6.4835
06/24/11, 6.4688, 6.4745, 6.4688, 6.4745
06/23/11, 6.4640, 6.4688, 6.4640, 6.4688
06/22/11, 6.4663, 6.4663, 6.4640, 6.4640
06/21/11, 6.4785, 6.4785, 6.4663, 6.4663
06/20/11, 6.4750, 6.4785, 6.4750, 6.4785
06/17/11, 6.4795, 6.4795, 6.4750, 6.4750
06/16/11, 6.4828, 6.4828, 6.4795, 6.4795
06/15/11, 6.4807, 6.4828, 6.4807, 6.4828
06/14/11, 6.4839, 6.4839, 6.4807, 6.4807
06/13/11, 6.4814, 6.4839, 6.4814, 6.4839
06/10/11, 6.4780, 6.4814, 6.4780, 6.4814
06/09/11, 6.4800, 6.4800, 6.4780, 6.4780
06/08/11, 6.4830, 6.4830, 6.4800, 6.4800
06/07/11, 6.4803, 6.4830, 6.4803, 6.4830
06/06/11, 6.4803, 6.4803, 6.4803, 6.4803
06/03/11, 6.4843, 6.4843, 6.4803, 6.4803
06/02/11, 6.4800, 6.4843, 6.4800, 6.4843
06/01/11, 6.4805, 6.4805, 6.4800, 6.4800
05/31/11, 6.4840, 6.4840, 6.4805, 6.4805
05/30/11, 6.4940, 6.4940, 6.4840, 6.4840
05/27/11, 6.4915, 6.4940, 6.4915, 6.4940
05/26/11, 6.4950, 6.4950, 6.4915, 6.4915
05/25/11, 6.5040, 6.5040, 6.4950, 6.4950
05/24/11, 6.5060, 6.5060, 6.5040, 6.5040
05/23/11, 6.4940, 6.5060, 6.4940, 6.5060
05/20/11, 6.5060, 6.5060, 6.4940, 6.4940
05/19/11, 6.5070, 6.5070, 6.5060, 6.5060
